start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker,max_length,max_batch_delay,inited_gpu_memory_used,runtime_gpu_memory_used,index,batch_t
1697020280.1762333,1697020286.8499858,6.673752546310425,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I do not have a",18,150,22.4761105478697,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7989 MiB,0,6.6853508949279785
1697020291.9105644,1697020297.9302337,6.0196692943573,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.58280072700274,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,1,6.030360221862793
1697020302.9918177,1697020304.5687895,1.5769717693328857,200,How old are you?,"How old are you?

I am 25 years old.",16,36,22.828563389710688,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,2,1.5884225368499756
1697020309.6116426,1697020315.2277322,5.616089582443237,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a>
I'm a full-time writer and editor",28,135,24.038078100112724,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,3,5.627407550811768
1697020320.289748,1697020325.892057,5.602308988571167,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,35.34257043014306,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,4,5.613922357559204
1697020330.9576974,1697020336.1835773,5.225879907608032,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,33.29582827701116,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,5,5.238263368606567
1697020341.2455778,1697020346.7200866,5.474508762359619,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

Yes, I have several hobbies and interests. I enjoy playing the guitar and writing music. I also like to read and learn about different cultures and histories. I find",37,204,37.263617404837625,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,6,5.485822916030884
1697020351.7820752,1697020357.405,5.6229248046875,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, either hiking or biking. It's a great way to get some exercise and fresh air, and it'",39,164,29.16631569806569,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,7,5.639845371246338
1697020362.473499,1697020364.922718,2.449218988418579,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,37.15470132736363,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7991 MiB,8,2.460862874984741
1697020369.9853096,1697020375.5780191,5.592709541320801,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm just an AI, I don't have personal preferences or taste buds, but I can provide information on different types of cuisine if you're",38,174,31.111932188580518,llama2-7b-chat,1,1,100,1000, 7909 MiB, 7993 MiB,9,5.604273080825806
1697020402.984484,1697020406.2291377,3.2446537017822266,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,20.957552407718854,llama2-7b-chat,2,1,50,1000, 7909 MiB, 7987 MiB,0,3.2623753547668457
1697020402.9844763,1697020406.2315447,3.247068405151367,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,20.94196718865554,llama2-7b-chat,2,1,50,1000, 7909 MiB, 7987 MiB,0,3.2623753547668457
1697020411.2946286,1697020417.5364347,6.2418060302734375,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,24.67234631340405,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8067 MiB,1,6.254577398300171
1697020411.2946703,1697020417.5343568,6.239686489105225,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,24.680727191805385,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8067 MiB,1,6.254577398300171
1697020422.5982878,1697020424.2291994,1.6309115886688232,200,How old are you?,"How old are you?

I am 35 years old.",16,36,22.073544789379902,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8067 MiB,2,1.6434011459350586
1697020422.5983357,1697020424.2276747,1.6293389797210693,200,How old are you?,"How old are you?

I am 35 years old.",16,36,22.094849781451206,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8067 MiB,2,1.6434011459350586
1697020429.2937613,1697020435.0423923,5.748631000518799,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,23.30989760656178,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8069 MiB,3,5.7630555629730225
1697020429.293851,1697020435.044182,5.750331163406372,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,23.303005721260284,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8069 MiB,3,5.7630555629730225
1697020440.1097524,1697020445.8952053,5.785452842712402,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,34.223768714908644,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,4,5.799612522125244
1697020440.1097991,1697020445.8963637,5.786564588546753,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,34.2171934608486,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,4,5.799612522125244
1697020450.961102,1697020456.3563952,5.395293235778809,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.250332353785986,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,5,5.407846927642822
1697020450.961128,1697020456.3552132,5.394085168838501,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.257555183813885,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,5,5.407846927642822
1697020461.421413,1697020467.053138,5.631725072860718,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.38231138199057,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,6,5.644689321517944
1697020461.4214637,1697020467.0522666,5.630802869796753,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.38777867867109,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,6,5.644689321517944
1697020472.113702,1697020478.000487,5.88678503036499,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.160289394914724,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,7,5.900566577911377
1697020472.1137414,1697020477.9995522,5.885810852050781,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.1646192633496,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,7,5.900566577911377
1697020483.061948,1697020485.5871236,2.5251755714416504,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.0370981840471,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,8,2.5396902561187744
1697020483.0619786,1697020485.5883043,2.5263257026672363,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.02069198913042,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,8,2.5396902561187744
1697020490.6505551,1697020496.4174643,5.766909122467041,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,33.64020411630975,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,9,5.780322074890137
1697020490.65063,1697020496.4164324,5.765802383422852,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,33.64666131426316,llama2-7b-chat,2,1,50,1000, 7909 MiB, 8071 MiB,9,5.780322074890137
1697020523.8296804,1697020526.9936914,3.164011001586914,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,21.4917078246234,llama2-7b-chat,2,1,100,1000, 7909 MiB, 7987 MiB,0,3.1763076782226562
1697020523.8297534,1697020526.9922514,3.1624979972839355,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,21.501989901148015,llama2-7b-chat,2,1,100,1000, 7909 MiB, 7987 MiB,0,3.1763076782226562
1697020532.054798,1697020538.2209353,6.166137456893921,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,24.975116282531705,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8067 MiB,1,6.178833484649658
1697020532.0548437,1697020538.2186332,6.163789510726929,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,24.984629947533357,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8067 MiB,1,6.178833484649658
1697020543.2825687,1697020544.879234,1.596665382385254,200,How old are you?,"How old are you?

I am 35 years old.",16,36,22.546990995833895,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8067 MiB,2,1.6125516891479492
1697020543.282644,1697020544.881519,1.5988750457763672,200,How old are you?,"How old are you?

I am 35 years old.",16,36,22.515830799347704,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8067 MiB,2,1.6125516891479492
1697020549.9448874,1697020555.6088612,5.663973808288574,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,23.65830149212668,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8069 MiB,3,5.678768634796143
1697020549.944886,1697020555.610555,5.665668964385986,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,23.65122297866589,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8069 MiB,3,5.678768634796143
1697020560.677456,1697020566.3942037,5.716747760772705,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,34.635077195226344,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,4,5.730818510055542
1697020560.6774988,1697020566.3954725,5.717973709106445,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,34.62765134520734,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,4,5.730818510055542
1697020571.4585311,1697020576.7795959,5.321064710617065,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.70022250487193,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,5,5.333589792251587
1697020571.4585788,1697020576.7790787,5.320499897003174,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.703693895005486,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,5,5.333589792251587
1697020581.840869,1697020587.4124687,5.571599721908569,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.742553195404355,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,6,5.583715200424194
1697020581.840908,1697020587.411434,5.570525884628296,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.749057789818465,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,6,5.583715200424194
1697020592.4741046,1697020598.3009224,5.826817750930786,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.42952063764132,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,7,5.8398356437683105
1697020592.474137,1697020598.301023,5.826885938644409,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.42921135261268,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,7,5.8398356437683105
1697020603.3622491,1697020605.8561232,2.4938740730285645,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.4894125907045,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,8,2.5076377391815186
1697020603.3623004,1697020605.8575428,2.4952423572540283,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.46940335693241,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,8,2.5076377391815186
1697020610.9370046,1697020616.622454,5.6854493618011475,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,34.12219292698808,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,9,5.700552940368652
1697020610.937046,1697020616.6248202,5.687774181365967,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,34.10824582937455,llama2-7b-chat,2,1,100,1000, 7909 MiB, 8071 MiB,9,5.700552940368652
1697020644.1044767,1697020647.192626,3.088149309158325,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,22.019660706927862,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8045 MiB,0,3.104670286178589
1697020644.1046004,1697020647.189075,3.084474563598633,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,22.045894235115664,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8045 MiB,0,3.104670286178589
1697020644.1047518,1697020647.1875868,3.0828349590301514,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,22.05761933535117,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8045 MiB,0,3.104670286178589
1697020644.1048331,1697020647.1909168,3.0860836505889893,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,22.034399484609555,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8045 MiB,0,3.104670286178589
1697020652.261218,1697020658.3868277,6.125609636306763,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.140354861536572,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,1,6.141699314117432
1697020652.2613027,1697020658.3824663,6.121163606643677,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.158615239895614,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,1,6.141699314117432
1697020652.261466,1697020658.385423,6.123956918716431,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.14713967522131,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,1,6.141699314117432
1697020652.2615147,1697020658.3844454,6.1229307651519775,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.151354131991,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,1,6.141699314117432
1697020663.453256,1697020665.062032,1.6087760925292969,200,How old are you?,"How old are you?

I am 25 years old.",16,36,22.37725943788813,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,2,1.6285459995269775
1697020663.4534183,1697020665.0657446,1.6123263835906982,200,How old are you?,"How old are you?

I am 25 years old.",16,36,22.327985429244755,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,2,1.6285459995269775
1697020663.4535193,1697020665.0632331,1.6097137928009033,200,How old are you?,"How old are you?

I am 25 years old.",16,36,22.364224100583726,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,2,1.6285459995269775
1697020663.4535844,1697020665.0648239,1.6112394332885742,200,How old are you?,"How old are you?

I am 25 years old.",16,36,22.34304800157679,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8073 MiB,2,1.6285459995269775
1697020670.129017,1697020675.9624891,5.833472013473511,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.fresherslive.com/job-interview-questions/"">Job Interview Questions</a>

What do you do for a living?",28,150,25.713674404119285,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,3,5.850729465484619
1697020670.1290915,1697020675.9578733,5.828781843185425,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.fresherslive.com/job-interview-questions/"">Job Interview Questions</a>

What do you do for a living?",28,150,25.734365093002882,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,3,5.850729465484619
1697020670.1292584,1697020675.9590328,5.829774379730225,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.fresherslive.com/job-interview-questions/"">Job Interview Questions</a>

What do you do for a living?",28,150,25.72998374028693,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,3,5.850729465484619
1697020670.1293273,1697020675.963817,5.834489583969116,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.fresherslive.com/job-interview-questions/"">Job Interview Questions</a>

What do you do for a living?",28,150,25.709189782794546,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,3,5.850729465484619
1697020681.033358,1697020686.791827,5.758468866348267,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently, but I think the most interesting one was the ancient city of Petra in Jordan. It's an incredible archaeological site that",49,208,36.120712784525864,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,4,5.774696588516235
1697020681.0334532,1697020686.7890937,5.755640506744385,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently, but I think the most interesting one was the ancient city of Petra in Jordan. It's an incredible archaeological site that",49,208,36.13846274037934,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,4,5.774696588516235
1697020681.03359,1697020686.791587,5.757997035980225,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently, but I think the most interesting one was the ancient city of Petra in Jordan. It's an incredible archaeological site that",49,208,36.123672641764514,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,4,5.774696588516235
1697020681.033686,1697020686.7896857,5.755999803543091,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently, but I think the most interesting one was the ancient city of Petra in Jordan. It's an incredible archaeological site that",49,208,36.136206931759475,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,4,5.774696588516235
1697020691.8573263,1697020697.1647112,5.307384967803955,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.78450706996599,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,5,5.324087858200073
1697020691.8574219,1697020697.1618516,5.304429769515991,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.80277193977758,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,5,5.324087858200073
1697020691.8575535,1697020697.160981,5.303427457809448,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.80897144049364,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,5,5.324087858200073
1697020691.8576467,1697020697.1633434,5.305696725845337,200,What's your favorite book or movie?,"What's your favorite book or movie?

I'm a big fan of science fiction and fantasy, and I'm always looking for new recommendations. Have you read or seen anything good lately?",35,174,32.79493891017248,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,5,5.324087858200073
1697020702.229873,1697020707.7612858,5.531412839889526,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.987699967763525,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,6,5.550926208496094
1697020702.2299805,1697020707.760336,5.530355453491211,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.99419830805253,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,6,5.550926208496094
1697020702.2301235,1697020707.762568,5.532444477081299,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.98136226740434,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,6,5.550926208496094
1697020702.2301822,1697020707.764074,5.533891916275024,200,Do you have any hobbies or interests?,"Do you have any hobbies or interests?

I have a lot of hobbies and interests, but I'm not sure which ones to mention here. I enjoy playing guitar and writing music, and I'm also interested",37,188,33.972474136528966,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,6,5.550926208496094
1697020712.8305082,1697020718.6145544,5.784046173095703,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.624960346327427,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,7,5.800594329833984
1697020712.830575,1697020718.612048,5.78147292137146,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.63681073913405,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,7,5.800594329833984
1697020712.8307261,1697020718.612755,5.782028913497925,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.634249379226194,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,7,5.800594329833984
1697020712.8307762,1697020718.613278,5.782501697540283,200,How do you like to spend your weekends?,"How do you like to spend your weekends?

I like to spend my weekends outdoors, whether it's hiking, biking, or just relaxing in a park.

What do you think",39,154,26.63207173212026,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,7,5.800594329833984
1697020723.6789176,1697020726.1662557,2.487338066101074,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.58529624107082,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,8,2.5057590007781982
1697020723.6789837,1697020726.165614,2.4866302013397217,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.59571091470374,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,8,2.5057590007781982
1697020723.6791186,1697020726.167047,2.4879283905029297,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.57661544736202,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,8,2.5057590007781982
1697020723.6792061,1697020726.1680567,2.4888505935668945,200,Have you ever traveled abroad?,"Have you ever traveled abroad? If so, where did you go and what was your experience like?

",30,91,36.563062578048694,llama2-7b-chat,4,1,50,1000, 7909 MiB, 8081 MiB,8,2.5057590007781982
